Country,Year,Disease Name,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%),Prevalence Category,Disease Category_Bacterial,Disease Category_Cardiovascular,Disease Category_Chronic,Disease Category_Genetic,Disease Category_Infectious,Disease Category_Metabolic,Disease Category_Neurological,Disease Category_Parasitic,Disease Category_Respiratory,Disease Category_Viral
Mexico,2009,Ebola,12.49,5.49,6.46,36-60,1,92.74,3.13,2.29,Medication,10256,Yes,94.83,556,7.33,92918,0.56,34.93,High,False,False,False,False,False,False,False,False,False,False
China,2019,Rabies,18.94,4.04,2.03,36-60,0,62.91,3.61,7.13,Therapy,27382,No,91.75,2062,3.66,27400,0.44,65.07,Very High,False,False,False,False,True,False,False,False,False,False
Saudi Arabia,2012,Alzheimer's Disease,0.22,3.85,2.57,61+,0,75.61,2.92,2.48,Medication,9258,Yes,51.12,834,5.68,55091,0.74,70.08,Low,False,False,False,False,False,True,False,False,False,False
Germany,2000,Asthma,15.39,14.22,6.82,36-60,0,86.83,1.49,4.52,Medication,48009,No,65.16,1105,1.94,5178,0.71,48.33,Very High,False,False,True,False,False,False,False,False,False,False
South Korea,2000,Hepatitis,17.42,5.54,2.91,19-35,0,81.04,2.18,6.49,Surgery,14590,No,93.7,2690,4.35,85094,0.43,51.99,Very High,False,False,True,False,False,False,False,False,False,False
Argentina,2017,Diabetes,3.93,11.53,2.11,36-60,2,92.16,1.36,3.15,Medication,10259,No,69.0,911,0.31,4247,0.6,49.9,Low,False,False,False,True,False,False,False,False,False,False
South Korea,2018,COVID-19,14.6,13.68,4.85,19-35,1,91.67,4.04,8.01,Vaccination,2616,No,81.69,440,4.41,34558,0.51,25.37,High,False,False,True,False,False,False,False,False,False,False
Japan,2018,Cancer,16.84,7.26,1.01,36-60,1,59.22,1.44,9.09,Therapy,6499,No,73.71,616,9.69,43529,0.49,86.46,Very High,False,False,False,False,False,True,False,False,False,False
Japan,2010,Alzheimer's Disease,12.06,5.08,8.31,36-60,2,57.19,4.72,4.21,Surgery,36234,Yes,62.62,3287,6.44,38911,0.84,30.3,High,False,False,False,True,False,False,False,False,False,False
Japan,2019,Cholera,2.46,0.87,3.99,36-60,2,87.4,2.55,1.12,Vaccination,47516,Yes,85.12,2204,6.11,13882,0.6,76.15,Low,False,False,False,False,False,False,False,True,False,False
